target,source,flow
1,11,10000
29,11,10000
130,11,10000
62,11,10000
33,11,10000
228,11,10000
61,11,10000
64,11,30000
22,11,10000
27,72,10000
16,72,50000
60,72,10000
125,125,10000
228,125,20000
131,228,20000
72,24,10000
125,24,70000
1,24,10000
29,24,10000
234,24,10000
60,24,10000
21,47,10000
53,47,10000
1,47,10000
24,47,100000
47,47,10000
8,47,30000
16,47,40000
28,47,20000
33,47,10000
64,47,10000
180,148,20000
131,130,10000
125,130,10000
231,130,10000
29,130,20000
65,130,20000
70,130,10000
186,180,10000
122,68,10000
148,68,20000
71,68,10000
180,68,10000
69,68,40000
62,68,10000
8,68,10000
18,178,10000
179,178,10000
68,178,110000
124,178,20000
69,178,10000
62,178,10000
186,178,10000
216,211,10000
105,211,30000
104,211,10000
105,104,90000
102,104,10000
104,104,30000
131,62,30000
29,62,40000
62,62,130000
22,62,100000
60,62,10000
70,62,30000
131,33,40000
125,33,10000
231,33,40000
15,33,20000
226,33,10000
37,33,10000
33,33,80000
60,33,90000
233,33,10000
89,89,50000
200,89,20000
90,89,30000
29,91,10000
90,91,20000
92,91,10000
51,27,10000
14,27,150000
22,22,190000
9,9,110000
7,9,80000
6,9,90000
25,9,10000
15,9,10000
0,0,50000
1,0,30000
144,0,20000
5,0,10000
2,0,30000
3,0,20000
7,0,10000
4,0,10000
226,0,100000
6,0,60000
110,0,10000
8,0,10000
75,0,10000
159,140,10000
72,140,10000
18,140,10000
145,140,10000
144,140,10000
68,140,10000
178,140,10000
142,140,10000
48,140,100000
143,140,40000
173,136,10000
138,135,10000
137,135,10000
136,135,20000
144,135,10000
69,135,10000
102,212,10000
213,212,10000
50,212,10000
211,212,10000
206,212,20000
211,208,20000
150,149,20000
164,166,10000
167,166,10000
163,166,10000
171,166,10000
143,166,10000
198,137,10000
170,137,10000
166,137,30000
167,137,10000
204,137,10000
180,137,10000
178,137,10000
67,137,10000
163,137,10000
164,161,20000
162,161,10000
142,161,90000
165,161,10000
163,161,10000
151,161,10000
49,142,20000
154,142,20000
5,142,10000
166,142,20000
167,142,30000
137,142,250000
68,142,10000
124,142,10000
67,142,10000
159,142,10000
158,146,10000
67,146,10000
150,146,10000
178,146,10000
60,233,10000
70,233,10000
7,6,100000
125,6,20000
6,6,10000
76,76,20000
86,76,10000
88,76,10000
24,76,10000
64,76,10000
87,76,10000
36,76,10000
82,79,10000
79,79,40000
78,79,10000
198,79,10000
80,79,40000
55,230,70000
82,78,10000
80,78,130000
82,29,40000
125,29,10000
92,29,120000
60,29,10000
22,29,50000
80,92,30000
78,92,60000
220,217,50000
217,105,450000
218,105,50000
59,105,10000
101,56,70000
228,37,10000
29,37,10000
16,37,10000
62,37,20000
8,37,240000
60,37,10000
22,37,10000
62,8,10000
51,8,10000
234,8,10000
70,8,10000
13,7,10000
16,7,30000
234,7,10000
209,222,10000
104,214,20000
211,103,10000
221,210,10000
208,210,30000
32,32,90000
1,32,20000
39,32,10000
16,32,10000
28,32,40000
33,32,10000
34,32,20000
70,32,10000
22,32,10000
21,40,10000
40,40,20000
15,40,10000
37,40,10000
28,40,20000
60,40,10000
32,38,70000
38,38,280000
27,38,10000
226,38,10000
6,38,10000
16,38,10000
125,35,10000
1,35,20000
35,35,10000
37,35,20000
28,35,20000
22,35,10000
36,35,10000
38,31,10000
16,31,10000
19,31,10000
32,19,40000
1,19,10000
122,19,10000
19,19,40000
16,19,10000
28,19,20000
62,19,10000
33,19,10000
34,19,10000
14,19,10000
22,19,10000
197,175,10000
67,167,10000
154,167,10000
124,167,10000
106,106,10000
83,106,10000
71,83,10000
78,83,10000
92,83,10000
49,192,10000
194,192,10000
193,192,30000
164,67,10000
197,67,20000
144,67,10000
148,67,10000
68,67,20000
69,67,10000
62,67,10000
143,67,150000
177,67,10000
176,67,20000
22,67,10000
186,143,10000
151,143,120000
124,143,10000
178,143,10000
164,151,10000
27,151,10000
124,151,10000
185,151,10000
27,176,10000
69,176,10000
175,177,20000
77,177,30000
24,177,10000
96,96,490000
97,96,100000
218,96,100000
32,12,10000
10,12,10000
24,12,10000
122,12,10000
19,12,10000
131,12,10000
65,12,10000
34,12,10000
213,12,10000
64,12,10000
1,25,30000
12,25,50000
82,25,10000
18,25,10000
10,25,10000
20,25,10000
235,25,30000
6,25,10000
119,25,10000
234,25,10000
10,172,10000
25,172,60000
72,172,10000
17,172,10000
1,172,10000
46,172,10000
20,172,10000
52,172,40000
232,82,20000
218,218,60000
97,218,170000
62,69,10000
16,69,10000
213,69,10000
35,69,10000
124,69,30000
131,30,90000
18,30,10000
125,30,20000
6,30,10000
64,30,10000
62,30,10000
33,30,30000
61,30,10000
60,30,10000
65,30,20000
224,223,20000
58,58,20000
37,28,200000
60,28,10000
15,28,10000
29,28,20000
70,28,10000
120,34,10000
15,34,20000
29,34,10000
16,34,20000
8,34,20000
28,34,110000
60,34,20000
70,34,10000
34,14,10000
231,14,10000
29,14,10000
206,205,10000
183,205,10000
209,207,10000
208,207,10000
88,77,20000
196,88,10000
77,191,10000
216,181,20000
186,181,10000
117,181,10000
8,126,10000
57,126,10000
127,126,10000
191,190,50000
124,186,10000
31,186,10000
164,124,100000
16,124,10000
47,124,10000
234,124,10000
28,110,10000
7,110,10000
111,110,10000
187,165,20000
38,36,10000
119,36,20000
target,source,flow
231,101,60000
226,84,10000
85,85,50000
52,85,20000
84,144,10000
181,144,10000
6,144,20000
124,144,10000
5,144,140000
120,70,40000
182,5,10000
183,5,10000
226,5,10000
29,129,10000
127,129,10000
90,200,30000
233,90,120000
49,198,200000
80,198,10000
1,198,10000
200,198,10000
199,198,10000
84,187,50000
188,187,10000
66,158,80000
158,158,10000
199,158,10000
68,158,30000
178,158,10000
159,158,10000
60,60,180000
191,141,10000
159,141,20000
178,141,10000
221,141,10000
156,152,10000
154,152,10000
5,152,10000
67,152,50000
155,152,20000
153,152,230000
66,153,10000
141,153,60000
144,153,10000
153,153,30000
124,153,10000
69,153,10000
159,153,40000
163,153,20000
157,153,10000
154,174,20000
163,174,10000
143,174,10000
7,107,20000
108,107,20000
129,108,10000
109,108,20000
116,108,10000
68,154,10000
69,154,10000
67,154,10000
143,154,10000
163,154,100000
151,154,10000
128,98,10000
98,98,20000
77,157,10000
55,55,10000
56,55,150000
198,164,10000
145,164,10000
37,227,10000
35,52,10000
1,52,10000
231,52,10000
52,52,10000
8,52,10000
71,52,10000
104,52,30000
16,52,10000
116,52,10000
62,52,20000
37,52,10000
90,52,10000
18,2,10000
17,2,10000
10,2,10000
2,2,290000
3,2,10000
57,2,10000
83,2,10000
226,2,10000
234,2,10000
28,2,10000
76,3,20000
10,3,10000
187,3,10000
3,3,30000
72,3,10000
1,3,10000
84,3,10000
127,3,10000
175,159,20000
67,159,130000
189,159,10000
68,159,10000
124,159,10000
69,159,10000
62,159,10000
1,49,10000
78,49,10000
201,49,60000
204,202,10000
203,202,20000
77,197,140000
21,21,190000
1,21,10000
27,21,10000
37,21,70000
234,21,10000
8,21,80000
62,21,10000
28,21,10000
34,21,10000
14,21,10000
60,21,10000
22,21,30000
53,53,10000
53,1,10000
1,1,80000
27,1,20000
13,1,10000
16,1,30000
37,1,10000
8,1,20000
51,1,10000
14,1,10000
60,1,10000
37,42,20000
8,42,20000
1,42,10000
51,229,10000
27,13,360000
8,13,10000
14,13,10000
60,13,10000
234,13,10000
58,117,10000
102,59,20000
58,59,10000
102,114,20000
114,113,20000
1,215,10000
62,66,10000
159,66,10000
160,66,60000
178,66,10000
103,86,10000
86,86,180000
52,86,20000
105,86,10000
104,86,10000
71,86,10000
102,86,10000
111,86,10000
15,231,180000
228,15,10000
15,15,20000
29,15,310000
62,15,40000
60,15,30000
233,15,10000
22,15,50000
116,115,30000
27,226,10000
7,226,20000
6,226,770000
82,81,30000
80,81,40000
81,81,10000
143,81,10000
228,179,10000
213,209,20000
59,209,20000
179,213,70000
22,131,10000
200,232,40000
125,16,110000
60,16,10000
16,234,110000
82,80,260000
232,80,10000
200,80,10000
118,102,10000
67,155,10000
159,155,10000
124,155,10000
22,155,10000
67,163,20000
155,163,30000
124,163,20000
22,163,10000
48,133,10000
5,133,30000
134,133,20000
187,133,10000
135,133,10000
134,134,10000
144,134,20000
135,134,30000
112,111,80000
113,112,10000
184,216,20000
123,184,10000
219,184,20000
179,221,10000
209,221,30000
213,221,10000
209,206,10000
50,206,10000
13,87,10000
121,74,10000
20,74,10000
27,74,10000
16,74,10000
37,74,20000
28,74,10000
70,74,10000
174,171,10000
67,171,10000
171,170,10000
169,168,10000
151,168,10000
18,26,20000
88,26,40000
33,26,10000
55,100,10000
230,100,10000
56,100,50000
101,100,30000
57,100,10000
100,100,170000
8,100,10000
45,100,10000
56,99,20000
101,99,30000
27,99,20000
100,99,40000
99,99,110000
14,99,10000
79,23,10000
18,23,20000
78,23,70000
80,23,100000
23,23,180000
33,23,30000
74,73,10000
76,75,10000
80,75,10000
77,75,10000
75,75,60000
78,75,40000
26,195,10000
18,195,10000
196,195,10000
21,18,10000
18,18,40000
1,18,10000
24,18,10000
29,18,10000
20,18,20000
27,18,10000
13,18,10000
122,18,10000
28,18,10000
14,18,10000
22,18,20000
19,17,10000
18,17,20000
17,17,140000
24,17,10000
122,17,10000
20,17,10000
27,17,60000
57,17,10000
211,17,10000
28,17,10000
71,17,10000
8,17,10000
14,17,60000
10,10,210000
1,10,30000
43,10,10000
15,10,10000
31,10,10000
27,10,30000
7,10,10000
13,10,20000
16,10,30000
234,10,10000
14,10,30000
11,10,10000
199,201,20000
194,199,20000
101,71,10000
32,71,10000
74,71,140000
120,71,20000
15,71,20000
29,71,20000
21,71,10000
130,71,10000
8,71,10000
70,71,10000
60,71,10000
233,71,10000
22,71,20000
71,119,80000
28,119,10000
61,119,10000
16,119,10000
70,119,10000
71,118,10000
37,118,10000
61,118,10000
36,118,20000
159,44,10000
21,44,10000
15,44,10000
52,44,10000
131,44,20000
65,44,50000
62,44,10000
33,44,10000
64,44,20000
132,44,20000
218,220,140000
97,220,60000
63,121,30000
122,121,10000
62,63,10000
123,63,10000
24,63,10000
46,63,10000
20,63,20000
51,123,20000
1,123,10000
46,123,20000
47,123,10000
188,225,20000
40,41,40000
15,41,10000
20,41,10000
22,41,20000
234,41,10000
71,41,10000
28,41,10000
119,41,10000
36,41,10000
8,46,10000
1,46,20000
24,46,10000
122,46,20000
82,122,10000
32,122,10000
1,122,20000
47,122,10000
20,122,140000
21,122,20000
16,122,10000
8,122,20000
61,122,10000
21,20,40000
80,20,10000
1,20,10000
47,20,30000
20,20,10000
7,20,10000
234,20,10000
37,20,30000
54,54,80000
55,54,10000
56,54,30000
55,39,20000
39,39,30000
13,39,10000
55,57,20000
57,57,350000
56,57,60000
39,203,10000
204,203,40000
37,235,10000
51,235,10000
1,235,20000
52,235,140000
55,45,20000
45,45,120000
1,45,10000
15,45,10000
94,93,10000
156,182,20000
184,182,10000
181,182,20000
156,156,40000
185,156,10000
181,156,10000
144,169,10000
1,50,10000
211,50,40000
122,50,10000
165,145,10000
165,185,20000
95,95,100000
226,95,10000
46,95,10000
4,4,10000
226,4,10000
6,4,20000
164,48,10000
147,48,10000
66,48,20000
1,48,10000
141,48,10000
122,48,10000
5,48,10000
148,48,10000
13,48,10000
68,48,10000
124,48,10000
69,48,10000
37,48,10000
146,48,140000
62,65,10000
37,65,10000
228,65,20000
60,65,10000
6,65,10000
141,139,10000
140,139,40000
130,61,10000
33,61,10000
131,61,10000
15,61,10000
65,61,40000
15,64,10000
29,64,10000
130,64,30000
62,64,30000
33,64,20000
61,64,40000
60,64,10000
147,150,80000
151,150,10000
54,127,10000
11,127,10000
56,11,10000
1,11,10000
29,11,10000
130,11,10000
62,11,10000
33,11,10000
228,11,10000
61,11,10000
64,11,30000
22,11,10000
27,72,10000
16,72,50000
60,72,10000
125,125,10000
228,125,20000
131,228,20000
72,24,10000
125,24,70000
1,24,10000
29,24,10000
234,24,10000
60,24,10000
21,47,10000
53,47,10000
1,47,10000
24,47,100000
47,47,10000
8,47,30000
16,47,40000
28,47,20000
33,47,10000
64,47,10000
180,148,20000
131,130,10000
125,130,10000
231,130,10000
29,130,20000
65,130,20000
70,130,10000
186,180,10000
122,68,10000
148,68,20000
71,68,10000
180,68,10000
69,68,40000
62,68,10000
8,68,10000
18,178,10000
179,178,10000
68,178,110000
124,178,20000
69,178,10000
62,178,10000
186,178,10000
216,211,10000
105,211,30000
104,211,10000
105,104,90000
102,104,10000
104,104,30000
131,62,30000
29,62,40000
62,62,130000
22,62,100000
60,62,10000
70,62,30000
131,33,40000
125,33,10000
231,33,40000
15,33,20000
226,33,10000
37,33,10000
33,33,80000
60,33,90000
233,33,10000
89,89,50000
200,89,20000
90,89,30000
29,91,10000
90,91,20000
92,91,10000
51,27,10000
14,27,150000
22,22,190000
9,9,110000
7,9,80000
6,9,90000
25,9,10000
15,9,10000
0,0,50000
1,0,30000
144,0,20000
5,0,10000
2,0,30000
3,0,20000
7,0,10000
4,0,10000
226,0,100000
6,0,60000
110,0,10000
8,0,10000
75,0,10000
159,140,10000
72,140,10000
18,140,10000
145,140,10000
144,140,10000
68,140,10000
178,140,10000
142,140,10000
48,140,100000
143,140,40000
173,136,10000
138,135,10000
137,135,10000
136,135,20000
144,135,10000
69,135,10000
102,212,10000
213,212,10000
50,212,10000
211,212,10000
206,212,20000
211,208,20000
150,149,20000
164,166,10000
167,166,10000
163,166,10000
171,166,10000
143,166,10000
198,137,10000
170,137,10000
166,137,30000
167,137,10000
204,137,10000
180,137,10000
178,137,10000
67,137,10000
163,137,10000
164,161,20000
162,161,10000
142,161,90000
165,161,10000
163,161,10000
151,161,10000
49,142,20000
154,142,20000
5,142,10000
166,142,20000
167,142,30000
137,142,250000
68,142,10000
124,142,10000
67,142,10000
159,142,10000
158,146,10000
67,146,10000
150,146,10000
178,146,10000
60,233,10000
70,233,10000
7,6,100000
125,6,20000
6,6,10000
76,76,20000
86,76,10000
88,76,10000
24,76,10000
64,76,10000
87,76,10000
36,76,10000
82,79,10000
79,79,40000
78,79,10000
198,79,10000
80,79,40000
55,230,70000
82,78,10000
80,78,130000
82,29,40000
125,29,10000
92,29,120000
60,29,10000
22,29,50000
80,92,30000
78,92,60000
220,217,50000
217,105,450000
218,105,50000
59,105,10000
101,56,70000
228,37,10000
29,37,10000
16,37,10000
62,37,20000
8,37,240000
60,37,10000
22,37,10000
62,8,10000
51,8,10000
234,8,10000
70,8,10000
13,7,10000
16,7,30000
234,7,10000
209,222,10000
104,214,20000
211,103,10000
221,210,10000
208,210,30000
32,32,90000
1,32,20000
39,32,10000
16,32,10000
28,32,40000
33,32,10000
34,32,20000
70,32,10000
22,32,10000
21,40,10000
40,40,20000
15,40,10000
37,40,10000
28,40,20000
60,40,10000
32,38,70000
38,38,280000
27,38,10000
226,38,10000
6,38,10000
16,38,10000
125,35,10000
1,35,20000
35,35,10000
37,35,20000
28,35,20000
22,35,10000
36,35,10000
38,31,10000
16,31,10000
19,31,10000
32,19,40000
1,19,10000
122,19,10000
19,19,40000
16,19,10000
28,19,20000
62,19,10000
33,19,10000
34,19,10000
14,19,10000
22,19,10000
197,175,10000
67,167,10000
154,167,10000
124,167,10000
106,106,10000
83,106,10000
71,83,10000
78,83,10000
92,83,10000
49,192,10000
194,192,10000
193,192,30000
164,67,10000
197,67,20000
144,67,10000
148,67,10000
68,67,20000
69,67,10000
62,67,10000
143,67,150000
177,67,10000
176,67,20000
22,67,10000
186,143,10000
151,143,120000
124,143,10000
178,143,10000
164,151,10000
27,151,10000
124,151,10000
185,151,10000
27,176,10000
69,176,10000
175,177,20000
77,177,30000
24,177,10000
96,96,490000
97,96,100000
218,96,100000
32,12,10000
10,12,10000
24,12,10000
122,12,10000
19,12,10000
131,12,10000
65,12,10000
34,12,10000
213,12,10000
64,12,10000
1,25,30000
12,25,50000
82,25,10000
18,25,10000
10,25,10000
20,25,10000
235,25,30000
6,25,10000
119,25,10000
234,25,10000
10,172,10000
25,172,60000
72,172,10000
17,172,10000
1,172,10000
46,172,10000
20,172,10000
52,172,40000
232,82,20000
218,218,60000
97,218,170000
62,69,10000
16,69,10000
213,69,10000
35,69,10000
124,69,30000
131,30,90000
18,30,10000
125,30,20000
6,30,10000
64,30,10000
62,30,10000
33,30,30000
61,30,10000
60,30,10000
65,30,20000
224,223,20000
58,58,20000
37,28,200000
60,28,10000
15,28,10000
29,28,20000
70,28,10000
120,34,10000
15,34,20000
29,34,10000
16,34,20000
8,34,20000
28,34,110000
60,34,20000
70,34,10000
34,14,10000
231,14,10000
29,14,10000
206,205,10000
183,205,10000
209,207,10000
208,207,10000
88,77,20000
196,88,10000
77,191,10000
216,181,20000
186,181,10000
117,181,10000
8,126,10000
57,126,10000
127,126,10000
191,190,50000
124,186,10000
31,186,10000
164,124,100000
16,124,10000
47,124,10000
234,124,10000
28,110,10000
7,110,10000
111,110,10000
187,165,20000
38,36,10000
119,36,20000
